URL,first_window_share,half_life_day,late_window_share,mean_accum_day,accel_index,plateau_day,Group,is_treatment
https://x.com/DE44797/status/1996165852530672079,0.6,1.0,0.1,2.3,-1.7917511359433325,4.0,Control,0
https://x.com/DMRuth4/status/1996202243981492225,0.8333333333333334,1.0,0.0,1.1666666666666667,-13.6331902011696,3.0,Treatment,1
https://x.com/DPrabhata/status/2003384219322736838,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/DavidJayJordan/status/2008448269186462024,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/DavidWall_/status/1996520949508690135,1.5,1.0,0.0,1.0,-14.220976332738884,2.0,Control,0
https://x.com/DavidWall_/status/1996526192048951443,2.0,1.0,0.0,1.0,-14.508658238524095,2.0,Treatment,1
https://x.com/DavidWall_/status/1996527067358167497,1.0,1.0,-0.07692307692307693,1.3125,,3.0,Treatment,1
https://x.com/DavidWall_/status/1996529607395168560,2.0,1.0,0.0,1.0,-14.508658238524095,2.0,Control,0
https://x.com/DavidWall_/status/1996529693567197669,1.0,1.0,0.0,1.25,-13.815511557963774,3.0,Treatment,1
https://x.com/DavidWall_/status/1996529893933220103,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/DavidWall_/status/1996532533144571991,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/DavidWall_/status/1998999116156743828,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/DavidWall_/status/2008534959124795635,1.0,1.0,0.0,2.0,-13.815511557963774,2.0,Control,0
https://x.com/DawnLennon14/status/1996478076012855509,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/Debater63/status/2002647475153404211,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/DeplorabusM/status/1995777944841507034,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/DietHeartNews/status/2000204309942706185,0.9259259259259259,1.0,0.0,1.1666666666666667,-13.738550596827563,2.0,Control,0
https://x.com/DietHeartNews/status/2002734443681972423,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/DietHeartNews/status/2002737400615969127,0.4,2.0,0.0,1.7142857142857142,-12.899222326086994,3.0,Treatment,1
https://x.com/Doncha_Ngo/status/2008029349841379672,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/Dorfmatratze1/status/2002990802415604211,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/Dowlphin/status/2003012781440958969,0.6923076923076923,1.0,0.0,1.3076923076923077,-13.447787222282358,3.0,Control,0
https://x.com/DowneyRyan/status/1998345614375969170,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/DrKaricRevenge/status/2000827121195765835,0.75,1.0,0.25,3.0,-1.0986096220085544,2.0,Treatment,1
https://x.com/DrNeculai/status/2000771788855239152,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/DrewGood1971/status/1997575513423135004,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/EMHoustonSpeaks/status/2002729170422632528,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Treatment,1
https://x.com/EduardoP1308/status/2002733786912768467,1.0,1.0,0.0,1.75,-13.815511557963774,2.0,Treatment,1
https://x.com/Eire1984/status/1998003264449650846,1.0,1.0,0.0,1.0,-13.815511557963774,2.0,Control,0
https://x.com/ElbeeBennettt/status/1995754057697255921,0.0,13.0,1.0,13.0,,1.0,Treatment,1
