URL,cluster,Group,is_treatment
https://x.com/DavidWall_/status/1996520854230876167,0,Treatment,1
https://x.com/DavidWall_/status/1996520949508690135,0,Control,0
https://x.com/DavidWall_/status/1996525529239839080,0,Control,0
https://x.com/DavidWall_/status/1996526192048951443,0,Treatment,1
https://x.com/DavidWall_/status/1996526246155403449,0,Treatment,1
https://x.com/DavidWall_/status/1996527067358167497,0,Treatment,1
https://x.com/DavidWall_/status/1996528913246302702,2,Control,0
https://x.com/DavidWall_/status/1996529125146632387,0,Treatment,1
https://x.com/DavidWall_/status/1996529405464609014,0,Control,0
https://x.com/DavidWall_/status/1996529607395168560,0,Control,0
https://x.com/DavidWall_/status/1996529693567197669,0,Treatment,1
https://x.com/DavidWall_/status/1996529893933220103,0,Treatment,1
https://x.com/DavidWall_/status/1996530511661998432,0,Control,0
https://x.com/DavidWall_/status/1996530906861850926,0,Control,0
https://x.com/DavidWall_/status/1996531135971541245,2,Control,0
https://x.com/DavidWall_/status/1996531695428784201,0,Treatment,1
https://x.com/DavidWall_/status/1996531914585596078,0,Treatment,1
https://x.com/DavidWall_/status/1996532533144571991,0,Control,0
https://x.com/DavidWall_/status/1998999116156743828,0,Treatment,1
https://x.com/DavidWall_/status/1999033988980089299,2,Treatment,1
https://x.com/DavidWall_/status/2008534959124795635,0,Control,0
https://x.com/DavidWall_/status/2008535013910822988,0,Treatment,1
https://x.com/DawnLennon14/status/1996478076012855509,0,Control,0
https://x.com/DawnLouise26944/status/1998026180197556436,0,Treatment,1
https://x.com/DebankNow/status/2008527877428703736,0,Treatment,1
https://x.com/Debater63/status/1998338758966427764,0,Control,0
https://x.com/Debater63/status/2002647475153404211,0,Treatment,1
https://x.com/Dee24163534/status/1998653098705789220,0,Control,0
https://x.com/DefenceNewsOfIN/status/2001291012334063890,0,Treatment,1
https://x.com/DeplorabusM/status/1995777944841507034,0,Treatment,1
https://x.com/DianaReadM/status/1997942398673146193,2,Treatment,1
https://x.com/DickMackintosh/status/2003073243520057554,2,Treatment,1
https://x.com/DickMackintosh/status/2003073627781292497,2,Control,0
https://x.com/DickMackintosh/status/2003073976659222645,0,Control,0
https://x.com/DickMackintosh/status/2003074600566227327,2,Treatment,1
https://x.com/DietHeartNews/status/2000204309942706185,0,Control,0
https://x.com/DietHeartNews/status/2002734443681972423,0,Control,0
https://x.com/DietHeartNews/status/2002737400615969127,2,Treatment,1
https://x.com/Doc_aka_Rich/status/2000408815741849948,0,Treatment,1
https://x.com/DogeShop1/status/1997922542162776120,0,Treatment,1
https://x.com/Doncha_Ngo/status/2008029349841379672,0,Control,0
https://x.com/Donna__Twitting/status/1997940102635692511,1,Control,0
https://x.com/Dorfmatratze1/status/2002990802415604211,0,Treatment,1
https://x.com/Dowlphin/status/2003012781440958969,0,Control,0
https://x.com/DowneyRyan/status/1998345614375969170,0,Control,0
https://x.com/DrBonsallBasel/status/1995814422640464059,0,Treatment,1
https://x.com/DrKaricRevenge/status/2000827121195765835,0,Treatment,1
https://x.com/DrNeculai/status/2000771788855239152,0,Treatment,1
https://x.com/DrNeculai/status/2010236167942484227,0,Treatment,1
https://x.com/DrYanagita/status/2002981666554626314,2,Treatment,1
https://x.com/Dragoneyes_001/status/2000828171558773010,1,Treatment,1
https://x.com/DrewGood1971/status/1997575513423135004,0,Treatment,1
https://x.com/Drumhailer/status/2005172256738345128,0,Treatment,1
https://x.com/Ducati853b/status/2008389998643474519,1,Treatment,1
https://x.com/DuranFanGermany/status/2000158619120136525,2,Control,0
https://x.com/DustinLath23725/status/2000856139991540050,0,Control,0
https://x.com/DykFlippie/status/2011777843790037045,0,Treatment,1
https://x.com/ELINET19/status/2010612267180757372,2,Control,0
https://x.com/EMHoustonSpeaks/status/2002729170422632528,2,Treatment,1
https://x.com/ESafronow/status/2011640747649614205,2,Treatment,1
https://x.com/ESinnona91398/status/2001286103123267644,0,Treatment,1
https://x.com/EarlJBH/status/2002730527002861802,0,Control,0
https://x.com/Ebay_Itemm/status/2002721174917398969,2,Control,0
https://x.com/EduardoP1308/status/2002733786912768467,0,Treatment,1
https://x.com/Ehdelhii/status/2008517311096066311,0,Control,0
https://x.com/Eire1984/status/1998003264449650846,0,Control,0
https://x.com/ElComrade_Vlad/status/2003331826065244502,0,Control,0
https://x.com/ElbeeBennettt/status/1995754057697255921,2,Treatment,1
https://x.com/Elroyscat/status/2006581718380413003,0,Control,0
https://x.com/EnglishLadYorks/status/2011795548114702611,0,Treatment,1
https://x.com/EpiqVita/status/2003428421402087764,0,Control,0
https://x.com/EskoKauppila/status/1997638401273512423,2,Control,0
https://x.com/EstherD08231206/status/1995800167522476054,0,Control,0
https://x.com/EuroKitco/status/2002598619074179083,1,Control,0
https://x.com/EviePurpleting/status/2011711314960539865,0,Treatment,1
https://x.com/EwartBarrry/status/2001243673384882648,2,Treatment,1
https://x.com/FP_Schmenkel/status/1998009640278184302,2,Treatment,1
https://x.com/FarlaneTeri/status/2000885466376044922,2,Control,0
https://x.com/FashionPearce/status/2005244927169765533,0,Treatment,1
https://x.com/FearnYarrow/status/2001288531251994958,0,Treatment,1
https://x.com/Fedro6548/status/1999113057176314305,0,Treatment,1
https://x.com/Fedup026/status/2000914948180820057,0,Treatment,1
https://x.com/Fedup026/status/2001645438110437703,2,Control,0
https://x.com/Fedup026/status/2001645972708012240,2,Treatment,1
https://x.com/Flick1_/status/2001270011009094133,0,Treatment,1
https://x.com/ForumForThought/status/2006301956579496215,0,Treatment,1
https://x.com/FranceRsistanc1/status/2005234016400900116,0,Treatment,1
https://x.com/Fred02995760902/status/2002679189749784833,2,Control,0
https://x.com/FredMisdom/status/2000531975703281712,0,Treatment,1
https://x.com/FredMisdom/status/2000537797741195651,0,Treatment,1
https://x.com/FredMisdom/status/2001134233147072814,2,Treatment,1
https://x.com/FredMisdom/status/2005960328723447855,1,Control,0
https://x.com/FredMisdom/status/2008132707319152749,0,Treatment,1
https://x.com/FredMisdom/status/2008854338270286100,2,Control,0
https://x.com/FreeMan010170/status/2010676638179066229,1,Control,0
https://x.com/FreeMan010170/status/2010680027499593781,1,Control,0
https://x.com/Freedom34612646/status/2012876008597160086,0,Treatment,1
https://x.com/Frieden11095996/status/2005969059985097058,1,Control,0
https://x.com/Fzed015/status/2010305333252833683,0,Treatment,1
https://x.com/GKRuben/status/2011793025148592225,2,Treatment,1
https://x.com/GL5589118269107/status/1998006406021259704,0,Treatment,1
https://x.com/GNicastia94016/status/1997638220264198653,2,Control,0
https://x.com/GSTP55784/status/2005122746637025341,0,Control,0
https://x.com/GSloveafricar/status/2010667453412704731,0,Control,0
https://x.com/GeneMil18438966/status/1996146298018218432,2,Treatment,1
https://x.com/GeneralFluffyz/status/1998344185519239425,0,Treatment,1
https://x.com/GeoffSmiGlaynax/status/1995819262858981452,0,Treatment,1
https://x.com/GeoffSmiGlaynax/status/2000533454925025555,0,Control,0
https://x.com/George28601554/status/1996200992371851743,1,Treatment,1
https://x.com/George28601554/status/1998019575477334211,1,Control,0
https://x.com/George28601554/status/2002739276350660670,2,Treatment,1
https://x.com/GerContra/status/1995766453622935684,0,Treatment,1
https://x.com/GeromanAT/status/1995759948358185390,0,Treatment,1
https://x.com/GeromanAT/status/1995810304979054676,0,Control,0
https://x.com/GeromanAT/status/2005223178814263710,0,Control,0
https://x.com/GesuDioVivente/status/2001284992396087747,0,Treatment,1
https://x.com/GhandGan/status/2005879616330711368,2,Treatment,1
https://x.com/Ghost_Pilot_MD/status/1998655038663831909,0,Control,0
https://x.com/GilesRocholl/status/2001632644027560041,0,Treatment,1
https://x.com/GinaMos80192718/status/2000791126320857124,0,Treatment,1
https://x.com/Ginzo1989/status/2008525948095021331,0,Control,0
https://x.com/Glenn_Diesen/status/2003365990902444457,0,Treatment,1
https://x.com/GordonJeffGiles/status/1998632483072692729,0,Control,0
https://x.com/GoudasNicholas/status/2002726573255123185,2,Control,0
https://x.com/GregClinker/status/2008804063174160577,2,Treatment,1
https://x.com/GudadzeLevan/status/2000876935568601532,0,Treatment,1
https://x.com/H12373Donald/status/2000177169381958114,0,Control,0
https://x.com/HBMHD1/status/1997953428262146194,0,Control,0
https://x.com/HSkaldebo11196/status/2001269539653161431,2,Control,0
https://x.com/Hans_1966/status/1995758502153736294,0,Control,0
https://x.com/Hans_1966/status/1995777262898061569,0,Control,0
https://x.com/Hans_1966/status/1998335377950564708,0,Control,0
https://x.com/Hans_1966/status/1998640377235193880,0,Control,0
https://x.com/Hans_1966/status/1998701839349317767,0,Control,0
https://x.com/Hans_1966/status/1999021683714224232,0,Control,0
https://x.com/HarJa626/status/2001238135754383701,0,Control,0
https://x.com/HaraldinChina/status/2006252685138485273,0,Control,0
https://x.com/HavryshkoMarta/status/2004166320871399706,0,Control,0
https://x.com/Hawkeye1745/status/2005146024738779365,0,Control,0
https://x.com/Healey2405/status/2000449596351533196,0,Control,0
https://x.com/Heermitt/status/2011701719663841573,0,Control,0
https://x.com/HeertumPetrus/status/1998952142674260458,0,Treatment,1
https://x.com/HelloSunset1692/status/2006231079015883218,1,Treatment,1
https://x.com/Hettiewaynthrop/status/1998309317913854228,0,Treatment,1
https://x.com/HotSpotHotSpot/status/2001282502065836200,0,Control,0
https://x.com/HubertusVenator/status/2003059467840291091,2,Treatment,1
https://x.com/HubertusVenator/status/2003072958408093945,2,Treatment,1
https://x.com/HubertusVenator/status/2010338986657792040,0,Control,0
https://x.com/Huhimagine/status/2000805350291988918,0,Treatment,1
https://x.com/HurriyatEN/status/1998622000743592393,0,Treatment,1
https://x.com/IKnowNada0/status/2006262347497890213,0,Treatment,1
https://x.com/Idontthinksokid/status/2001230585272979490,0,Control,0
https://x.com/IgorMatutinovic/status/2002732348111261993,0,Control,0
https://x.com/Imagine_MK2/status/2003411362073182430,0,Control,0
https://x.com/Info_Defense_En/status/2000853604387971168,2,Treatment,1
https://x.com/IniPatini/status/2001238803974172730,0,Treatment,1
https://x.com/Intelligencer41/status/2002588175903175113,0,Treatment,1
https://x.com/Intelligencer41/status/2002630700693131528,0,Control,0
https://x.com/InvestChar2023/status/2001288158898778240,0,Control,0
https://x.com/IomcLinus/status/1996217723139813642,0,Treatment,1
https://x.com/IrakliUser/status/2006609584576766433,2,Treatment,1
https://x.com/IronyManHQ/status/1998233829866152350,0,Control,0
https://x.com/IsaLecri9106/status/2005880889775939660,0,Control,0
https://x.com/IslanderWORLD/status/2004048668119138548,0,Treatment,1
https://x.com/IssacCody32356/status/1999008589042589778,0,Control,0
https://x.com/JHArnous/status/2004054584076251544,0,Treatment,1
https://x.com/JHaHaLeftHook/status/2000836412242096416,0,Control,0
https://x.com/JJKALE2/status/1996533397624426811,0,Treatment,1
https://x.com/JJolastu84536/status/2003064990794994031,0,Treatment,1
https://x.com/JJolastu84536/status/2005183003442462847,0,Treatment,1
https://x.com/JPM369/status/2011710818711433360,0,Control,0
https://x.com/JS_Mill_Acolyte/status/1996121662312644942,2,Control,0
https://x.com/JS_Mill_Acolyte/status/2003008337982722358,0,Treatment,1
https://x.com/Ja09724729/status/2005197114142536126,0,Control,0
https://x.com/JaapTbm1/status/2000120519199273140,0,Control,0
https://x.com/JacobP32213953/status/2012768265060122910,0,Treatment,1
https://x.com/JamesBradleyCA/status/2009245331754766807,2,Treatment,1
https://x.com/JanszkiRud42778/status/2001184726506184929,1,Treatment,1
https://x.com/JasnicSlobodan/status/1998271638874603746,0,Control,0
